origin,pre_covid_share,post_covid_share,absolute_change,pct_change
Afghanistan,7.415271710321995e-05,4.248510053771951e-05,-3.166761656550044e-05,-42.71
Albania,7.522928129778179e-05,0.00011121099846638343,3.598171716860164e-05,47.83
Algeria,0.0005895156927794896,0.0012467318906064524,0.0006572161978269628,111.48
American Samoa,9.59159959869844e-06,2.9842475464211283e-05,2.0250875865512842e-05,211.13
Andorra,1.598058317619856e-05,4.435944320850125e-05,2.837886003230269e-05,177.58
Angola,1.7323135987479754e-05,4.384491776946313e-05,2.6521781781983377e-05,153.1
Anguilla,1.4170018993001787e-05,3.9103933366897546e-05,2.493391437389576e-05,175.96
Antarctica,1.019763807254348e-05,2.157331662252712e-05,1.1375678549983641e-05,111.55
Antigua and Barbuda,8.565032934097113e-05,0.00010525720410037083,1.9606874759399697e-05,22.89
Argentina,0.0007820325007576055,0.000688912811054976,-9.311968970262955e-05,-11.91
Armenia,3.669740732100789e-05,5.1673054806257465e-05,1.4975647485249578e-05,40.81
Aruba,5.533766501337866e-05,0.00010823410128337713,5.289643626999847e-05,95.59
Australia,0.011608916769890317,0.010854391910131224,-0.0007545248597590933,-6.5
Austria,0.0013078152765866218,0.0012148680652031628,-9.294721138345904e-05,-7.11
Azerbaijan,2.7689983094283787e-05,4.5645756806096565e-05,1.7955773711812778e-05,64.85
Bahamas,0.0005104976979449164,0.0007100818576896874,0.00019958415974477095,39.1
Bahrain,6.070760073913644e-05,9.323935991712318e-05,3.253175917798674e-05,53.59
Bangladesh,0.00029765728706035454,0.000723533022738827,0.0004258757356784725,143.08
Barbados,0.0004870154528040021,0.0006161442132481554,0.00012912876044415323,26.51
Belarus,5.863175344708412e-05,4.160305692793987e-05,-1.7028696519144255e-05,-29.04
Belgium,0.0023561391081741894,0.0023048534559883577,-5.128565218583169e-05,-2.18
Belize,5.910657004626037e-05,7.670104223375486e-05,1.759447218749449e-05,29.77
Benin,2.8582035729869853e-05,3.745010159856071e-05,8.868065868690856e-06,31.03
Bermuda,0.0006444255580076852,0.0006065152371747276,-3.791032083295758e-05,-5.88
Bhutan,5.358478214275779e-06,1.4480215927215819e-05,9.12173771294004e-06,170.23
Bolivia,5.4389340121456583e-05,6.924042336770204e-05,1.4851083246245459e-05,27.31
"Bonaire, Sint Eustatius and Saba",4.2844365136477725e-06,1.1723829646654433e-05,7.43939313300666e-06,173.64
Bosnia and Herzegovina,4.167397911009697e-05,4.167656056208817e-05,2.58145199120085e-09,0.01
