province,origin,low_reliability,pre_covid_spend,pre_covid_spa,post_covid_spend,post_covid_spa,spa_absolute_change,spa_pct_change,spend_absolute_change,spend_pct_change
Alberta,Australia,False,882954000.0,3903.8359507640066,,,,,,
Alberta,China,False,997332000.0,5756.606060606061,,,,,,
Alberta,France,False,293817000.0,3417.748464544947,,,,,,
Alberta,Germany,False,711993000.0,1795.2148984130347,,,,,,
Alberta,India,False,284949000.0,1817.78687897114,,,,,,
Alberta,Japan,False,347295000.0,1907.166392092257,,,,,,
Alberta,Mexico,False,262155000.0,1124.038486275115,,,,,,
Alberta,Overseas,False,2601573000.0,inf,1331463000.0,inf,,,-1270110000.0,-48.82
Alberta,United Kingdom,False,1295976000.0,1257.6918597880517,,,,,,
Alberta,United States,False,5673026976.0,551.9363481192808,4766177952.0,921.0336742537993,369.09732613451854,66.87,-906849024.0,-15.99
British Columbia,Australia,False,2281767000.0,775.8768780041946,,,,,,
British Columbia,China,False,4786524000.0,1097.6901495272834,,,,,,
British Columbia,France,False,517998000.0,1072.6595017705163,,,,,,
British Columbia,Germany,False,1478745000.0,1050.4494482591072,,,,,,
British Columbia,India,False,307227000.0,234.41849179607382,,,,,,
British Columbia,Japan,False,1095876000.0,646.3400392802166,,,,,,
British Columbia,Mexico,False,1356018000.0,730.5879538636599,,,,,,
British Columbia,Overseas,False,7438270056.0,inf,3630131928.0,inf,,,-3808138128.0,-51.2
British Columbia,United Kingdom,False,2648754000.0,942.1027809018137,,,,,,
British Columbia,United States,False,17773577904.0,238.69477170291827,10542744120.0,287.2735705878785,48.578798884960236,20.35,-7230833784.0,-40.68
Manitoba,Australia,False,63375000.0,3338.3375474083437,,,,,,
Manitoba,China,False,191100000.0,19444.444444444445,,,,,,
Manitoba,France,False,43236000.0,7953.64238410596,,,,,,
Manitoba,Germany,False,67983000.0,3950.6624825662484,,,,,,
Manitoba,India,False,42654000.0,5651.033386327504,,,,,,
Manitoba,Japan,False,48960000.0,5458.19397993311,,,,,,
Manitoba,Mexico,False,53847000.0,2570.0171821305844,,,,,,
Manitoba,Overseas,False,307118000.0,inf,117707000.0,inf,,,-189411000.0,-61.67
Manitoba,United Kingdom,False,111030000.0,3053.1265467744597,,,,,,
Manitoba,United States,False,933399000.0,213.9774119938434,514041000.0,273.1517497321839,59.17433773834048,27.65,-419358000.0,-44.93
New Brunswick,Australia,False,44871000.0,2253.9180229053645,,,,,,
New Brunswick,China,False,117936000.0,19955.329949238578,,,,,,
New Brunswick,France,False,73245000.0,3778.242030331167,,,,,,
New Brunswick,Germany,False,64611000.0,670.8509843010216,,,,,,
New Brunswick,India,False,37941000.0,13540.6852248394,,,,,,
New Brunswick,Japan,False,37251000.0,8646.935933147632,,,,,,
New Brunswick,Mexico,False,47076000.0,4275.74931880109,,,,,,
New Brunswick,Overseas,False,232766000.0,inf,58293000.0,inf,,,-174473000.0,-74.96
New Brunswick,United Kingdom,False,85038000.0,804.8725083763984,,,,,,
New Brunswick,United States,False,1143471000.0,107.25408692050371,716049000.0,161.69532723449456,54.441240313990846,50.76,-427422000.0,-37.38
Newfoundland and Labrador,Australia,False,47397000.0,1665.858287642345,,,,,,
Newfoundland and Labrador,China,False,27843000.0,18488.04780876494,,,,,,
Newfoundland and Labrador,France,False,71604000.0,2784.414372375175,,,,,,
Newfoundland and Labrador,Germany,False,65484000.0,535.840534171249,,,,,,
Newfoundland and Labrador,India,False,25998000.0,7847.268336854814,,,,,,
Newfoundland and Labrador,Japan,False,22596000.0,37103.44827586207,,,,,,
Newfoundland and Labrador,Mexico,False,29133000.0,3712.629030202625,,,,,,
